name,visited,rating,href,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
Little Original Joe’s,false,4.3 ,/biz/little-original-joes-san-francisco?osq=Restaurants,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,37.736575,-122.47032
Friends Only,false,4.9 ,/biz/friends-only-san-francisco?osq=Restaurants,,,,,,,,37.790716,-122.419231
Mamanoko,false,4.3 ,/biz/mamanoko-san-francisco-2?osq=Restaurants,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,12:00 PM - 2:30 PM,12:00 PM - 2:30 PM,12:00 PM - 2:30 PM,37.799956,-122.441438
Brioche Bakery &amp; Cafe,false,4.0 ,/biz/brioche-bakery-and-cafe-san-francisco-3?osq=Restaurants,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,37.769931,-122.449316
L’Ardoise Bistro,false,4.5 ,/biz/l-ardoise-bistro-san-francisco?osq=Restaurants,Closed,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:00 PM - 10:30 PM,5:00 PM - 10:30 PM,Closed,37.766574,-122.432988
Unco Frank’s,false,4.5 ,/biz/unco-frank-s-san-francisco?osq=Restaurants,4:30 PM - 8:45 PM,4:30 PM - 8:45 PM,4:30 PM - 8:45 PM,4:30 PM - 8:45 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 8:45 PM,37.782849,-122.464117
Wilder,false,3.9 ,/biz/wilder-san-francisco?osq=Restaurants,5:00 PM - 10:00 PM,Closed,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,4:00 PM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day),10:00 AM - 8:00 PM,37.798848,-122.435688
Big Fish House,false,4.9 ,/biz/big-fish-house-san-francisco?osq=Restaurants,Closed,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,5:00 PM - 10:00 PM,5:00 PM - 9:00 PM,37.781957,-122.481961
Chez Maman West,false,4.1 ,/biz/chez-maman-west-san-francisco-2?osq=Restaurants,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,37.776988,-122.423164
Breakfast at Tiffany’s,false,4.0 ,/biz/breakfast-at-tiffanys-san-francisco?osq=Restaurants,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:30 PM,7:00 AM - 2:30 PM,37.730449,-122.404662
